N	p	P_fail
77	48	0.133333
177	46	0.0333333
185	30	0
53	96	0.2
100	61	0.0333333
74	53	0.133333
64	86	0.233333
156	16	0
185	57	0
159	84	0.1
63	75	0.133333
187	43	0.0333333
154	47	0.0333333
160	11	0
105	87	0.166667
83	72	0.133333
189	53	0.0666667
158	43	0.0666667
100	7	0
163	70	0.0666667
103	86	0.2
144	14	0
155	76	0.1
81	44	0.0333333
140	31	0.0666667
150	41	0.0333333
189	95	0.0666667
155	28	0
94	11	0
195	94	0.0666667
168	34	0.0333333
147	49	0.0333333
69	20	0.0333333
168	22	0
78	79	0.133333
187	100	0
93	54	0.0666667
89	63	0.0333333
77	18	0.0333333
120	8	0
95	72	0.1
171	44	0.0333333
142	97	0.133333
117	7	0
104	39	0.1
81	9	0
139	49	0.1
188	68	0.1
98	76	0.0666667
101	14	0
121	49	0
139	60	0.0333333
179	83	0.133333
172	38	0
162	76	0.133333
63	8	0
144	69	0.1
135	20	0
167	39	0.0666667
97	34	0
113	67	0.0666667
152	7	0
143	34	0
173	76	0.0333333
95	100	0.233333
67	19	0
125	8	0
164	80	0.0666667
92	99	0.133333
183	73	0.1
64	24	0.0666667
194	67	0.0333333
189	36	0
181	85	0.0666667
181	36	0
70	36	0.0666667
145	70	0.1
68	95	0.0333333
194	76	0.0666667
170	73	0.0333333
173	63	0
117	49	0.0666667
93	73	0.1
77	25	0.0333333
123	27	0
105	8	0
161	11	0
131	53	0.0333333
99	99	0.1
129	11	0
190	15	0
195	84	0.2
153	82	0.2
113	16	0
164	45	0.0666667
52	30	0.0666667
93	83	0.0666667
127	28	0
194	34	0
94	11	0
197	33	0
115	97	0.1
160	36	0
145	13	0
84	66	0.233333
180	21	0
102	17	0
81	25	0.0666667
85	97	0.266667
164	51	0.0333333
110	87	0.0333333
77	90	0.233333
189	12	0
126	9	0
176	69	0.0666667
53	42	0.2
116	36	0.0666667
91	88	0.1
73	7	0
171	32	0
142	69	0.0333333
72	97	0.133333
91	80	0.1
196	45	0
132	14	0
54	23	0.0666667
135	78	0.0666667
118	75	0.0333333
70	49	0.133333
185	15	0
76	27	0
189	56	0
185	68	0.0333333
189	14	0
58	52	0.133333
180	82	0.133333
190	91	0.1
178	59	0.0333333
80	46	0.2
116	78	0.133333
191	51	0.0333333
189	58	0
192	14	0
174	37	0
129	59	0.133333
82	75	0.0333333
151	60	0.0333333
128	91	0.1
149	94	0.1
94	11	0
196	46	0.0333333
116	93	0.233333
55	93	0.133333
136	84	0.0333333
70	11	0
199	85	0.0333333
116	95	0.133333
97	41	0.0333333
163	86	0.1
90	89	0.166667
168	22	0
99	36	0
72	63	0.0666667
139	90	0.2
63	58	0.0333333
71	44	0.0666667
188	32	0
69	42	0.0666667
146	34	0
160	91	0.0666667
59	57	0.133333
192	81	0.0666667
159	73	0.0666667
82	29	0
68	87	0.133333
84	52	0.0666667
60	64	0.133333
170	47	0.0333333
73	38	0.0333333
144	80	0
58	56	0.2
85	47	0.0666667
157	29	0.0333333
155	29	0.0333333
99	11	0
85	96	0.133333
69	66	0.166667
103	74	0.133333
64	14	0.0333333
102	78	0.0333333
191	28	0
86	45	0.0333333
50	32	0.0333333
119	53	0.0666667
149	41	0
177	40	0
184	87	0.166667
63	7	0
121	51	0.1
186	37	0
99	93	0.2
124	40	0.0666667
165	75	0.0333333
144	78	0.0666667
102	31	0
81	20	0
89	40	0.0666667
